plot;date;plant;indv;rec;rec_1;rec_2;act_fl;act_st;act_le;act_c;L_act;ant;aphid;switch;no;steps;walk;exp;act_level;left;random;
Nh-10_ext;31.08.2018;Delta;A;C112;0;1;0;1;1;1;5;2;1;0;1;0;1;0;2;0;0;
Nh-10_ext;31.08.2018;Delta;B;C113;0;1;0;1;0;1;1;1;10;0;1;1;0;0;2;0;0;
Nh-10_ext;31.08.2018;Delta;C;C115;0;1;0;1;1;1;5;1;4;0;0;0;1;1;2;0;0;
Nh-10_ext;31.08.2018;Delta;D;C116;0;1;0;1;0;1;1;0;5;0;1;0;0;0;1;0;0;
Nh-10_ext;31.08.2018;Delta;E;C118;0;1;0;1;1;1;2;2;10;0;1;1;0;0;1;0;0;
Oh-02_ext;04.08.2018;Alpha;A;A69;1;0;1;0;0;1;3;kA;1;0;1;0;1;0;1;0;0;
Oh-02_ext;04.08.2018;Alpha;B;A70;1;0;1;1;1;1;30;kA;kA;1;0;0;1;1;2;0;0;
Oh-02_ext;04.08.2018;Alpha;C;A71;1;0;1;0;0;1;1;kA;1;0;1;1;0;0;1;0;0;
Oh-02_ext;04.08.2018;Alpha;D;A72;1;0;1;0;0;1;1;kA;0;1;1;1;0;0;1;0;0;
Oh-02_ext;04.08.2018;Alpha;E;A73;1;0;1;0;0;1;1;kA;kA;0;1;1;0;0;1;0;rotating itself;
Oh-02_ext;04.08.2018;Alpha;F;A74;1;0;1;0;0;0;5;kA;0;0;0;1;1;0;1;0;0;
Oh-02_ext;04.08.2018;Alpha;G;A75;1;0;1;1;1;0;10;kA;0;0;0;0;1;1;2;0;pollen;
Oh-02_ext;09.08.2018;Alpha;A;B49;1;0;1;1;1;1;4;kA;kA;1;0;0;1;0;2;0;0;
Oh-02_ext;09.08.2018;Alpha;B;B50;1;0;1;1;1;1;10;kA;kA;1;0;0;1;1;3;0;0;
Oh-02_ext;09.08.2018;Alpha;C;B51;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;
Oh-02_ext;09.08.2018;Alpha;D;B52;1;0;1;1;0;1;8;kA;kA;1;0;0;1;0;2;0;0;
Oh-02_ext;09.08.2018;Alpha;E;B53;1;0;1;0;0;1;1;kA;kA;0;1;1;0;0;1;0;0;
Oh-02_ext;09.08.2018;Alpha;F;B54;1;0;1;0;0;1;6;4;kA;1;0;1;0;0;2;0;0;
Oh-02_ext;15.08.2018;Beta;A;C72;1;0;1;0;0;1;2;kA;kA;0;0;1;0;0;2;0;0;
